Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
M,0.26071343069188413,0.30308834091453196,0.13981326310749342,0.30440507541297585,0.3184103423509696,0.27340196313143406,0.3002154656451999,1
M,0.09396696193440268,0.09767775915728992,0.11407708881972707,0.1167105578166148,0.1224563083552789,0.11467560450083793,0.11299976059372756,0
F,0.4642087622695715,0.4861144361982284,0.42877663394780946,0.4214747426382571,0.37263586305961216,0.4038783816135983,0.4476897294709121,0
M,0.22791477136700983,0.30308834091453196,0.3415130476418482,0.30667943500119704,0.3036868565956428,0.3167344984438592,0.3139813263107493,0
I,0.07505386641129998,0.08379219535551831,0.07242039741441225,0.1000718218817333,0.10414172851328705,0.08774239885084989,0.08020110126885324,0
I,0.1997845343548001,0.1545367488628202,0.13981326310749342,0.19056739286569307,0.17883648551592052,0.20265740962413215,0.22899209959300934,0
F,0.4642087622695715,0.4689968877184582,0.5796025855877424,0.48479770169978453,0.33552789083073975,0.4038783816135983,0.7537706487909983,1
F,0.5041896097677759,0.505626047402442,0.3415130476418482,0.4768972947091214,0.4322480248982523,0.42985396217380895,0.5761311946372994,1
M,0.31122815417763944,0.31589657649030406,0.3415130476418482,0.3005745750538664,0.30632032559253053,0.313023701220972,0.33588700023940626,0
F,0.5222647833373234,0.5614077088819727,0.5796025855877424,0.5737371319128561,0.46732104381134787,0.43595882212113957,0.7337802250418961,1
F,0.44661240124491264,0.35108929853962173,0.47773521666267654,0.3721570505147235,0.2639454153698827,0.4250658367249222,0.4476897294709121,1
M,0.20816375389035194,0.2577208522863299,0.22887239645678717,0.22635863059612163,0.22085228632990184,0.21223366052190568,0.2644242279147714,0
M,0.346301173090735,0.35108929853962173,0.42877663394780946,0.32319846779985634,0.30811587263586304,0.25568589897055305,0.40411778788604263,1
F,0.4795307637060091,0.4378740723006943,0.5258558774239885,0.4247067273162557,0.3969355997127125,0.5013167344984438,0.43643763466602825,0
F,0.2962652621498683,0.2757960258558774,0.1680632032559253,0.2773521666267656,0.22085228632990184,0.21079722288723965,0.3922671774000479,0
M,0.3713191285611683,0.4163275077807039,0.38592291118027294,0.41477136700981565,0.37455111323916684,0.3763466602824994,0.5216662676562126,1
I,0.10019152501795547,0.12461096480727796,0.09037586784773761,0.15561407708881972,0.11395738568350491,0.08774239885084989,0.21510653579123773,0
F,0.22791477136700983,0.23150586545367488,0.1680632032559253,0.2586784773761073,0.2532918362461096,0.23162556858989705,0.25005985156811106,0
M,0.11276035432128322,0.14663634187215704,0.07242039741441225,0.13406751256882932,0.11874551113239167,0.09959300933684463,0.18194876705769691,0
M,0.24838400766100072,0.1881733301412497,0.1680632032559253,0.21139573856835048,0.22635863059612163,0.19643284654057935,0.21510653579123773,0
M,0.10019152501795547,0.12461096480727796,0.13981326310749342,0.128202058893943,0.11491501077328226,0.1588460617668183,0.12508977735216661,1
I,0.1368206847019392,0.11527412018194877,0.1680632032559253,0.1167105578166148,0.09085468039262629,0.11587263586305961,0.1491501077328226,0
F,0.5690687096001915,0.5614077088819727,0.6375389035192722,0.6058175724203975,0.6392147474263826,0.6378980129279387,0.6021067751975102,1
F,0.5222647833373234,0.4689968877184582,0.42877663394780946,0.47282738807756763,0.4729470912137898,0.6278429494852765,0.42638257122336604,0
F,0.7501795547043333,0.7447929135743356,0.7356954752214508,0.7546085707445535,0.7639454153698827,0.856236533397175,0.6941584869523582,0
F,0.5533875987550874,0.5614077088819727,0.47773521666267654,0.599114196791956,0.5758917883648551,0.5579363179315298,0.6831457984199186,1
F,0.6290399808474982,0.6023461814699546,0.8913095523102705,0.6450802011012688,0.594206368206847,0.7980608091932009,0.6435240603303807,1
M,0.6637538903519272,0.5787646636341872,0.47773521666267654,0.6007900406990663,0.5331577687335408,0.7000239406272444,0.6321522623892746,1
M,0.7166626765621259,0.719535551831458,0.863299018434283,0.6042614316495092,0.5932487431170697,0.6542973425903759,0.6717740004788125,1
M,0.606894900646397,0.505626047402442,0.47773521666267654,0.5470433325353125,0.590615274120182,0.6809911419679195,0.42638257122336604,1
M,0.6290399808474982,0.6932008618625808,0.7356954752214508,0.646636341872157,0.5920517117548479,0.7219296145559013,0.7537706487909983,0
F,0.9369164472109169,0.9683983720373474,0.7356954752214508,0.9403878381613598,0.8665310031122816,0.8145798419918602,0.9339238688053627,1
M,0.9116590854680393,0.9097438352884846,0.7356954752214508,0.8489346420876227,0.811587263586306,0.9303327747186976,0.7963849652860905,1
F,0.9369164472109169,0.9565477615513527,0.8223605458463011,0.9669619344026813,0.968158965764903,0.9597797462293512,0.9316495092171415,1
F,0.966004309312904,0.9565477615513527,0.9551113239166866,0.9516399329662437,0.889514005266938,0.9724682786689012,0.9554704333253531,1
M,0.2835767297103184,0.2757960258558774,0.1990663155374671,0.2813023701220972,0.3211635144840795,0.34570265740962414,0.23976538185300456,0
F,0.49174048360067035,0.719535551831458,0.6375389035192722,0.7864496049796504,0.7856116830260953,0.871797941106057,0.7753172133109888,1
F,0.24838400766100072,0.2757960258558774,0.1990663155374671,0.3121857792674168,0.33552789083073975,0.3254728273880776,0.2866890112520948,0
F,0.606894900646397,0.5787646636341872,0.42877663394780946,0.566554943739526,0.5730189130955231,0.6079722288723964,0.5761311946372994,1
M,0.10019152501795547,0.13981326310749342,0.11407708881972707,0.177759157289921,0.16842231266459182,0.22815417763945414,0.16088101508259517,0
F,0.24838400766100072,0.22037347378501318,0.1990663155374671,0.2384486473545607,0.25089777352166626,0.24395499162078046,0.21510653579123773,0
F,0.5222647833373234,0.505626047402442,0.42877663394780946,0.5383050035910941,0.5422552070864257,0.5830739765381853,0.6021067751975102,1
I,0.021307158247546084,0.020349533157768735,0.010294469715106535,0.021785970792434762,0.026214986832655017,0.04117787886042614,0.020229830021546564,0
I,0.012449126167105579,0.012927938711994253,0.018913095523102705,0.012568829303327747,0.01951161120421355,0.022623892745989947,0.011611204213550394,0
I,0.013765860665549438,0.012927938711994253,0.013765860665549438,0.012568829303327747,0.012927938711994253,0.01711754847977017,0.014843188891548958,0
I,0.1507062485037108,0.14663634187215704,0.13981326310749342,0.09863538424706728,0.10150825951639933,0.1047402441943979,0.12508977735216661,0
M,0.2962652621498683,0.31589657649030406,0.2971031841034235,0.3500119703136222,0.4297342590375868,0.6809911419679195,0.2754369164472109,0
F,0.271965525496768,0.332176203016519,0.2971031841034235,0.26645918123054824,0.23868805362700501,0.30548240363897533,0.3002154656451999,0
I,0.07026574096241321,0.0723006942781901,0.043093129039980846,0.06882930332774718,0.08259516399329662,0.04500837921953555,0.06320325592530525,0
F,0.44661240124491264,0.505626047402442,0.6880536270050275,0.5266937993775437,0.531841034235097,0.6365812784294949,0.5335168781422073,0
I,0.4291357433564759,0.4539142925544649,0.2971031841034235,0.36305961216183863,0.3393583911898492,0.3085946851807517,0.40411778788604263,0
M,0.1626765621259277,0.1881733301412497,0.13981326310749342,0.16124012449126168,0.16722528130237013,0.15214268613837684,0.18194876705769691,0
M,0.3349293751496289,0.2905195116112042,0.38592291118027294,0.32319846779985634,0.37706487909983244,0.25939669619344025,0.32523342111563325,0
F,0.2962652621498683,0.2905195116112042,0.2971031841034235,0.2789083073976538,0.2941106056978693,0.2898012927938712,0.3002154656451999,0
M,0.16949964089059133,0.1730907349772564,0.1680632032559253,0.21378980129279387,0.2303088340914532,0.24527172611922432,0.20385444098635383,0
F,0.3713191285611683,0.4163275077807039,0.47773521666267654,0.4118984917404836,0.37263586305961216,0.5183145798419918,0.47198946612401244,0
M,0.23773042853722767,0.2577208522863299,0.2971031841034235,0.25089777352166626,0.2611922432367728,0.2572420397414412,0.2644242279147714,0
M,0.2962652621498683,0.3678477376107254,0.42877663394780946,0.35767297103184104,0.40459660043093126,0.33516878142207324,0.3504907828585109,0
I,0.022863299018434282,0.02717261192243237,0.025017955470433326,0.02848934642087623,0.038664112999760594,0.02058893943021307,0.026334689968877185,0
F,0.3879578644960498,0.4163275077807039,0.3415130476418482,0.3542015800813981,0.35372276753650944,0.36509456547761554,0.36329901843428297,0
M,0.24838400766100072,0.24275796025855878,0.1990663155374671,0.23054824036389754,0.24168063203255924,0.313023701220972,0.2644242279147714,0
M,0.3879578644960498,0.4378740723006943,0.22887239645678717,0.3841273641369404,0.45271726119224326,0.46612401244912616,0.36329901843428297,0
F,0.4642087622695715,0.4539142925544649,0.38592291118027294,0.4322480248982523,0.4469715106535791,0.5731386162317452,0.42638257122336604,0
M,0.1997845343548001,0.19918601867368926,0.13981326310749342,0.20888197270768494,0.22635863059612163,0.20936078525257362,0.18194876705769691,0
M,0.4291357433564759,0.4163275077807039,0.2971031841034235,0.3507301891309552,0.3303806559731865,0.3709600191525018,0.3922671774000479,0
M,0.31122815417763944,0.2757960258558774,0.2971031841034235,0.2816614795307637,0.3303806559731865,0.27483840076610005,0.2644242279147714,0
F,0.5690687096001915,0.5614077088819727,0.6880536270050275,0.5869044768972947,0.5306440028728753,0.5731386162317452,0.7337802250418961,1
F,0.6801532200143644,0.8028489346420876,0.8913095523102705,0.8249940148431889,0.6240124491261672,0.6722528130237012,0.9517596361024658,1
